study_accession	field	n_records	structured_nonnull_frac	verdict
PRJNA353361	host	29	0.0	needs_paper
PRJNA353361	cf_status	29	0.0	needs_paper
PRJNA353361	smoking_status	29	0.0	needs_paper
PRJNA353361	ast	29	0.0	needs_paper
PRJNA401495	country	1	1.0	answered_by_data
PRJNA401495	collection_date	1	1.0	answered_by_data
PRJNA401495	isolation_source	1	0.0	needs_paper
PRJNA401495	host	1	1.0	answered_by_data
PRJNA401495	cf_status	1	0.0	needs_paper
PRJNA401495	smoking_status	1	0.0	needs_paper
PRJNA401495	ast	1	0.0	needs_paper
PRJNA401515	country	118	1.0	answered_by_data
PRJNA401515	collection_date	118	1.0	answered_by_data
PRJNA401515	isolation_source	118	1.0	answered_by_data
PRJNA401515	host	118	1.0	answered_by_data
PRJNA401515	cf_status	118	0.0	needs_paper
PRJNA401515	smoking_status	118	0.0	needs_paper
PRJNA401515	ast	118	0.0	needs_paper
PRJNA420644	country	85	1.0	answered_by_data
PRJNA420644	collection_date	85	0.882	answered_by_data
PRJNA420644	isolation_source	85	1.0	answered_by_data
PRJNA420644	host	85	1.0	answered_by_data
PRJNA420644	cf_status	85	0.0	needs_paper
PRJNA420644	smoking_status	85	0.0	needs_paper
PRJNA420644	ast	85	0.0	needs_paper
PRJNA439313	country	17	1.0	answered_by_data
PRJNA439313	collection_date	17	1.0	answered_by_data
PRJNA439313	isolation_source	17	1.0	answered_by_data
PRJNA439313	host	17	1.0	answered_by_data
PRJNA439313	cf_status	17	1.0	answered_by_data
PRJNA439313	smoking_status	17	0.0	needs_paper
PRJNA439313	ast	17	0.0	needs_paper
PRJNA523365	country	76	1.0	answered_by_data
PRJNA523365	collection_date	76	0.0	needs_paper
PRJNA523365	isolation_source	76	0.0	needs_paper
PRJNA523365	host	76	1.0	answered_by_data
PRJNA523365	cf_status	76	0.0	needs_paper
PRJNA523365	smoking_status	76	0.0	needs_paper
PRJNA523365	ast	76	0.0	needs_paper
PRJNA542112	country	24	1.0	answered_by_data
PRJNA542112	collection_date	24	1.0	answered_by_data
PRJNA542112	isolation_source	24	1.0	answered_by_data
PRJNA542112	host	24	1.0	answered_by_data
PRJNA542112	cf_status	24	0.0	needs_paper
PRJNA542112	smoking_status	24	0.0	needs_paper
PRJNA542112	ast	24	0.0	needs_paper
PRJNA566387	country	1	1.0	answered_by_data
PRJNA566387	collection_date	1	1.0	answered_by_data
