study_accession	paper_short_title	n_isolates	fold	seed	ena_total_samples	ena_total_runs	ena_taxon_samples	n_child_studies	umbrella_suspected	by_scientific_name	fetch_status
PRJEB44175		2	sub10		2		2				proxy_rowcount
PRJNA944929		2	sub10		2		2				proxy_rowcount
PRJEB44350		2	sub10		2		2				proxy_rowcount
PRJNA230968		2	sub10		2		2				proxy_rowcount
PRJNA230969		2	sub10		2		2				proxy_rowcount
PRJNA599529		2	sub10		2		2				proxy_rowcount
PRJNA840888		2	sub10		2		2				proxy_rowcount
PRJNA310664		2	sub10		2		2				proxy_rowcount
PRJNA293225		2	sub10		2		2				proxy_rowcount
PRJDB11627		2	sub10		2		2				proxy_rowcount
PRJNA884103		2	sub10		2		2				proxy_rowcount
PRJEB49171		2	sub10		2		2				proxy_rowcount
PRJEB44904		2	sub10		2		2				proxy_rowcount
PRJNA523425		2	sub10		2		2				proxy_rowcount
PRJEB4506		2	sub10		2		2				proxy_rowcount
PRJNA614638		2	sub10		2		2				proxy_rowcount
PRJNA516562		2	sub10		2		2				proxy_rowcount
PRJEB33365		2	sub10		2		2				proxy_rowcount
PRJEB18525		2	sub10		2		2				proxy_rowcount
PRJNA623051		2	sub10		2		2				proxy_rowcount
PRJEB46059		2	sub10		2		2				proxy_rowcount
PRJEB33694		2	sub10		2		2				proxy_rowcount
PRJNA874344		2	sub10		2		2				proxy_rowcount
PRJEB50806		2	sub10		2		2				proxy_rowcount
PRJNA833080		2	sub10		2		2				proxy_rowcount
PRJNA864766		2	sub10		2		2				proxy_rowcount
PRJNA749600		2	sub10		2		2				proxy_rowcount
PRJDB14713		2	sub10		2		2				proxy_rowcount
PRJNA819844		2	sub10		2		2				proxy_rowcount
PRJNA749815		2	sub10		2		2				proxy_rowcount
PRJEB41279		2	sub10		2		2				proxy_rowcount
PRJEB34867		2	sub10		2		2				proxy_rowcount
PRJNA632581		2	sub10		2		2				proxy_rowcount
PRJNA1034027		2	sub10		2		2				proxy_rowcount
PRJEB17631		2	sub10		2		2				proxy_rowcount
PRJDB9614		2	sub10		2		2				proxy_rowcount
PRJNA871216		2	sub10		2		2				proxy_rowcount
PRJEB21765		2	sub10		2		2				proxy_rowcount
PRJEB42295		2	sub10		2		2				proxy_rowcount
PRJEB58827		2	sub10		2		2				proxy_rowcount
PRJNA503785		2	sub10		2		2				proxy_rowcount
PRJNA646204		2	sub10		2		2				proxy_rowcount
PRJNA647060		2	sub10		2		2				proxy_rowcount
PRJEB24576		2	sub10		2		2				proxy_rowcount
PRJEB53051		2	sub10		2		2				proxy_rowcount
PRJEB51459		2	sub10		2		2				proxy_rowcount
PRJNA521445		2	sub10		2		2				proxy_rowcount
PRJNA728680		2	sub10		2		2				proxy_rowcount
PRJEB52722		2	sub10		2		2				proxy_rowcount
PRJNA627626		2	sub10		2		2				proxy_rowcount
PRJNA607402		2	sub10		2		2				proxy_rowcount
