sample_accession,collection_date,country,HOST,experiment_alias,isolation_source,study_accession,run_accession
SAMEA7472302,2015-17,Ethiopia,Human,ERX4785362,Blood,PRJEB33565,ERR4920453
SAMEA7472713,2015-17,Pakistan,Human,ERX4785488,Blood,PRJEB33565,ERR4920579
SAMEA7472433,2015-17,Nigeria,Human,ERX4785418,Blood,PRJEB33565,ERR4920509
SAMEA7472458,2015-17,Nigeria,Human,ERX4785426,Blood,PRJEB33565,ERR4920517
SAMEA7472055,2015-17,Bangladesh,Human,ERX4785283,Blood,PRJEB33565,ERR4920374
SAMEA7472631,2015-17,Pakistan,Human,ERX4785477,Blood,PRJEB33565,ERR4920568
SAMEA7472372,2015-17,Nigeria,Human,ERX4785405,Blood,PRJEB33565,ERR4920496
SAMEA7472331,2015-17,Ethiopia,Human,ERX4785387,Blood,PRJEB33565,ERR4920478
SAMEA7472245,2015-17,Ethiopia,Human,ERX4785323,Blood,PRJEB33565,ERR4920414
SAMEA7472287,2015-17,Ethiopia,Human,ERX4785351,Blood,PRJEB33565,ERR4920442
SAMEA7472217,2015-17,Ethiopia,Human,ERX4785300,Blood,PRJEB33565,ERR4920391
SAMEA7472471,2015-17,Nigeria,Human,ERX4785432,Blood,PRJEB33565,ERR4920523
SAMEA7472262,2015-17,Ethiopia,Human,ERX4785337,Blood,PRJEB33565,ERR4920428
SAMEA7472328,2015-17,Ethiopia,Human,ERX4785384,Blood,PRJEB33565,ERR4920475
SAMEA7472228,2015-17,Ethiopia,Human,ERX4785308,Blood,PRJEB33565,ERR4920399
SAMEA7472243,2015-17,Ethiopia,Human,ERX4785321,Blood,PRJEB33565,ERR4920412
SAMEA7472352,2015-17,Nigeria,Human,ERX4785400,Blood,PRJEB33565,ERR4920491
SAMEA7472490,2015-17,Nigeria,Human,ERX4785441,Blood,PRJEB33565,ERR4920532
SAMEA7472326,2015-17,Ethiopia,Human,ERX4785382,Blood,PRJEB33565,ERR4920473
SAMEA7472502,2015-17,Nigeria,Human,ERX4785446,Blood,PRJEB33565,ERR4920537
SAMEA7472798,2015-17,Pakistan,Human,ERX4785498,Blood,PRJEB33565,ERR4920589
SAMEA7472572,2015-17,Pakistan,Human,ERX4785465,Blood,PRJEB33565,ERR4920556
SAMEA7472921,2015-17,South Africa,Human,ERX4785526,Blood,PRJEB33565,ERR4920617
SAMEA7472259,2015-17,Ethiopia,Human,ERX4785334,Blood,PRJEB33565,ERR4920425
SAMEA7472398,2015-17,Nigeria,Human,ERX4785410,Blood,PRJEB33565,ERR4920501
SAMEA7472249,2015-17,Ethiopia,Human,ERX4785327,Blood,PRJEB33565,ERR4920418
SAMEA7472931,2015-17,South Africa,Human,ERX4785531,Blood,PRJEB33565,ERR4920622
SAMEA7472934,2015-17,South Africa,Human,ERX4785532,Blood,PRJEB33565,ERR4920623
SAMEA7472240,2015-17,Ethiopia,Human,ERX4785318,Blood,PRJEB33565,ERR4920409
SAMEA7472914,2015-17,South Africa,Human,ERX4785523,Blood,PRJEB33565,ERR4920614
SAMEA7472047,2015-17,Bangladesh,Human,ERX4785282,Blood,PRJEB33565,ERR4920373
SAMEA7472241,2015-17,Ethiopia,Human,ERX4785319,Blood,PRJEB33565,ERR4920410
SAMEA7472438,2015-17,Nigeria,Human,ERX4785421,Blood,PRJEB33565,ERR4920512
